 »   Warning: @salesforce/cli update available from 2.127.2 to 2.131.7.
Querying Data... done
Id,Name,CreatedDate,LastModifiedDate,OwnerId
a0Cct00003ENBagEAH,XALA-CM-001,2026-03-23T17:16:55.000+0000,2026-03-25T22:29:28.000+0000,005cx00000h0PNRAA2
a0Cct00003F3KhZEAV,456,2026-03-25T22:00:56.000+0000,2026-03-25T22:00:56.000+0000,005cx00000h0PNRAA2
a0Cct00003FLVWTEA5,123 prueba,2026-03-26T21:29:25.000+0000,2026-04-22T03:37:14.000+0000,005cx00000h0PNRAA2
a0Cct00003Os7zgEAB,XL4-IMP-PA-14322,2026-04-20T03:33:03.000+0000,2026-04-21T21:04:25.000+0000,005cx00000h0PNRAA2
a0Cct00003Os7zxEAB,XL4-HF-PA-043-22,2026-04-20T03:33:03.000+0000,2026-04-21T23:36:07.000+0000,005cx00000h0PNRAA2
a0Cct00003PBLagEAH,091,2026-04-21T01:42:51.000+0000,2026-04-21T21:19:55.000+0000,005cx00000h0PNRAA2
a0Cct00003PNacQEAT,079,2026-04-21T13:57:49.000+0000,2026-04-21T14:26:06.000+0000,005cx00000h0PNRAA2
a0Cct00003PNpMrEAL,007985,2026-04-21T14:02:40.000+0000,2026-04-22T03:37:14.000+0000,005cx00000h0PNRAA2
a0Cct00003Pnq17EAB,CT-DEMO-Autopista-Norte,2026-04-22T14:02:22.000+0000,2026-04-22T14:02:22.000+0000,005cx00000h0PNRAA2
a0Cct00003Pnq18EAB,CT-DEMO-Planta-Industrial,2026-04-22T14:02:22.000+0000,2026-04-22T14:02:22.000+0000,005cx00000h0PNRAA2
a0Cct00003Pnq19EAB,CT-DEMO-Centro-Comercial,2026-04-22T14:02:22.000+0000,2026-04-22T14:02:22.000+0000,005cx00000h0PNRAA2
